_id,Date,Time,Open,Close,Highest,Lowest,Volume
64e7025cdf0395b7bf76f39e,2023-08-24,12:40:20,972.5,966.85,982.4,969.6,11061678
64e70261df0395b7bf76f39f,2023-08-24,12:40:25,972.5,966.85,982.4,969.6,11063834
64e70266df0395b7bf76f3a0,2023-08-24,12:40:30,972.5,966.85,982.4,969.6,11064189
64e7026cdf0395b7bf76f3a1,2023-08-24,12:40:35,972.5,966.85,982.4,969.6,11064403
64e70270df0395b7bf76f3a2,2023-08-24,12:40:40,972.5,966.85,982.4,969.6,11064514
64e70275df0395b7bf76f3a3,2023-08-24,12:40:45,972.5,966.85,982.4,969.6,11064768
64e7027adf0395b7bf76f3a4,2023-08-24,12:40:50,972.5,966.85,982.4,969.6,11069517
64e7027fdf0395b7bf76f3a5,2023-08-24,12:40:55,972.5,966.85,982.4,969.6,11070401
64e70284df0395b7bf76f3a6,2023-08-24,12:41:00,972.5,966.85,982.4,969.6,11071661
64e70289df0395b7bf76f3a7,2023-08-24,12:41:05,972.5,966.85,982.4,969.6,11074126
64e70290df0395b7bf76f3a8,2023-08-24,12:41:10,972.5,966.85,982.4,969.6,11076984
64e70293df0395b7bf76f3a9,2023-08-24,12:41:15,972.5,966.85,982.4,969.6,11083981
64e70298df0395b7bf76f3aa,2023-08-24,12:41:20,972.5,966.85,982.4,969.6,11087260
64e7029ddf0395b7bf76f3ab,2023-08-24,12:41:25,972.5,966.85,982.4,969.6,11111763
64e702a3df0395b7bf76f3ac,2023-08-24,12:41:30,972.5,966.85,982.4,969.6,11124598
